IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
1.0.0.1,4,3,0.25,202.37,5.47
141.101.114.166,4,3,0.25,205.02,4.94
141.101.115.187,4,3,0.25,208.24,4.93
190.93.245.232,4,3,0.25,209.36,4.88
162.159.46.204,4,3,0.25,201.39,4.63
198.41.215.91,4,3,0.25,203.70,4.53
1.1.1.9,4,3,0.25,205.72,4.47
162.159.130.246,4,3,0.25,213.05,4.43
190.93.244.61,4,3,0.25,208.25,4.35
162.159.36.155,4,3,0.25,195.75,4.35
162.159.204.156,4,3,0.25,212.74,4.20
103.21.244.154,4,3,0.25,204.54,4.19
104.16.29.34,4,3,0.25,204.19,4.18
162.159.213.166,4,3,0.25,212.19,4.08
173.245.49.62,4,3,0.25,205.55,4.01
198.41.209.240,4,3,0.25,203.84,4.00
141.101.120.150,4,3,0.25,207.62,3.71
162.159.128.135,4,3,0.25,208.80,3.68
1.0.0.143,4,3,0.25,200.65,2.35
141.101.113.151,4,3,0.25,169.02,0.48
